LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
LOS ANGELES,9000464B,1143,196,N, ,VBM PORTION,506,390,80
LOS ANGELES,9000464B,1143,196,N,3187,TOTAL,623,470,110
LOS ANGELES,9000465A,1144,69,N, ,POLLING PLACE,96,45,49
LOS ANGELES,9000465A,1144,69,N, ,VBM PORTION,342,200,104
LOS ANGELES,9000465A,1144,69,N,2937,TOTAL,438,245,153
LOS ANGELES,9000476A,1145,196,N, ,POLLING PLACE,111,87,15
LOS ANGELES,9000476A,1145,196,N, ,VBM PORTION,320,245,57
LOS ANGELES,9000476A,1145,196,N,1944,TOTAL,431,332,72
LOS ANGELES,9000494A,1146,69,N, ,POLLING PLACE,105,50,45
LOS ANGELES,9000494A,1146,69,N, ,VBM PORTION,420,274,109
LOS ANGELES,9000494A,1146,69,N,2714,TOTAL,525,324,154
LOS ANGELES,9000495A,6522,149,Y, ,POLLING PLACE,70,54,15
LOS ANGELES,9000495A,6522,149,Y, ,VBM PORTION,237,150,54
LOS ANGELES,9000495A,6522,149,Y,1313,TOTAL,307,204,69
LOS ANGELES,9000498A,1147,62,N, ,POLLING PLACE,93,38,47
LOS ANGELES,9000498A,1147,62,N, ,VBM PORTION,424,136,187
LOS ANGELES,9000498A,1147,62,N,1877,TOTAL,517,174,234
LOS ANGELES,9000500A,1148,62,N, ,POLLING PLACE,87,24,50
LOS ANGELES,9000500A,1148,62,N, ,VBM PORTION,508,206,189
LOS ANGELES,9000500A,1148,62,N,2275,TOTAL,595,230,239
LOS ANGELES,9000507A,6523,146,Y, ,POLLING PLACE,61,46,10
LOS ANGELES,9000507A,6523,146,Y, ,VBM PORTION,346,275,20
LOS ANGELES,9000507A,6523,146,Y,1181,TOTAL,407,321,30
LOS ANGELES,9000509A,1149,68,N, ,POLLING PLACE,92,48,34
LOS ANGELES,9000509A,1149,68,N, ,VBM PORTION,387,169,171
LOS ANGELES,9000509A,1149,68,N,2047,TOTAL,479,217,205
LOS ANGELES,9000510A,1150,69,N, ,POLLING PLACE,91,52,33
LOS ANGELES,9000510A,1150,69,N, ,VBM PORTION,255,157,82
LOS ANGELES,9000510A,1150,69,N,2048,TOTAL,346,209,115
LOS ANGELES,9000511A,1151,84,N, ,POLLING PLACE,204,101,88
LOS ANGELES,9000511A,1151,84,N, ,VBM PORTION,1189,772,283
LOS ANGELES,9000511A,1151,84,N,3486,TOTAL,1393,873,371
LOS ANGELES,9000512C,1152,69,N, ,POLLING PLACE,54,24,28
LOS ANGELES,9000512C,1152,69,N, ,VBM PORTION,207,136,61
LOS ANGELES,9000512C,1152,69,N,1817,TOTAL,261,160,89
LOS ANGELES,9000519A,1153,68,N, ,POLLING PLACE,112,67,34
LOS ANGELES,9000519A,1153,68,N, ,VBM PORTION,394,273,84
LOS ANGELES,9000519A,1153,68,N,2871,TOTAL,506,340,118
LOS ANGELES,9000524A,1154,175,N, ,POLLING PLACE,163,104,53
LOS ANGELES,9000524A,1154,175,N, ,VBM PORTION,471,326,112
LOS ANGELES,9000524A,1154,175,N,2653,TOTAL,634,430,165
LOS ANGELES,9000525C,1155,116,N, ,POLLING PLACE,153,68,76
LOS ANGELES,9000525C,1155,116,N, ,VBM PORTION,584,330,200
LOS ANGELES,9000525C,1155,116,N,3309,TOTAL,737,398,276
LOS ANGELES,9000530A,1156,149,N, ,POLLING PLACE,187,132,46
LOS ANGELES,9000530A,1156,149,N, ,VBM PORTION,862,621,137
LOS ANGELES,9000530A,1156,149,N,4098,TOTAL,1049,753,183
LOS ANGELES,9000533B,6524,232,Y, ,POLLING PLACE,28,21,6
LOS ANGELES,9000533B,6524,232,Y, ,VBM PORTION,126,76,37
LOS ANGELES,9000533B,6524,232,Y,882,TOTAL,154,97,43
LOS ANGELES,9000534A,1157,84,N, ,POLLING PLACE,162,97,60
LOS ANGELES,9000534A,1157,84,N, ,VBM PORTION,662,403,172
LOS ANGELES,9000534A,1157,84,N,3272,TOTAL,824,500,232
LOS ANGELES,9000536A,1158,173,N, ,POLLING PLACE,228,129,86
LOS ANGELES,9000536A,1158,173,N, ,VBM PORTION,763,501,168
LOS ANGELES,9000536A,1158,173,N,3488,TOTAL,991,630,254
LOS ANGELES,9000544A,1159,148,N, ,POLLING PLACE,159,108,44
LOS ANGELES,9000544A,1159,148,N, ,VBM PORTION,734,560,110
LOS ANGELES,9000544A,1159,148,N,3648,TOTAL,893,668,154
LOS ANGELES,9000546A,6525,148,Y, ,POLLING PLACE,37,28,6
LOS ANGELES,9000546A,6525,148,Y, ,VBM PORTION,160,127,13
LOS ANGELES,9000546A,6525,148,Y,797,TOTAL,197,155,19
LOS ANGELES,9000552A,6526,202,Y, ,POLLING PLACE,33,24,7
LOS ANGELES,9000552A,6526,202,Y, ,VBM PORTION,260,169,69
LOS ANGELES,9000552A,6526,202,Y,1029,TOTAL,293,193,76
LOS ANGELES,9000553A,1160,62,N, ,POLLING PLACE,158,76,62
LOS ANGELES,9000553A,1160,62,N, ,VBM PORTION,822,363,282
LOS ANGELES,9000553A,1160,62,N,3713,TOTAL,980,439,344
LOS ANGELES,9000567B,1161,157,N, ,POLLING PLACE,259,96,138
LOS ANGELES,9000567B,1161,157,N, ,VBM PORTION,1529,854,546
LOS ANGELES,9000567B,1161,157,N,4515,TOTAL,1788,950,684
LOS ANGELES,9000568A,1162,62,N, ,POLLING PLACE,218,107,92
LOS ANGELES,9000568A,1162,62,N, ,VBM PORTION,1006,508,323
LOS ANGELES,9000568A,1162,62,N,3991,TOTAL,1224,615,415
LOS ANGELES,9000578A,6527,107,Y, ,POLLING PLACE,93,38,47
LOS ANGELES,9000578A,6527,107,Y, ,VBM PORTION,400,215,114
LOS ANGELES,9000578A,6527,107,Y,1876,TOTAL,493,253,161
LOS ANGELES,9000580A,1163,170,N, ,POLLING PLACE,180,140,34
LOS ANGELES,9000580A,1163,170,N, ,VBM PORTION,795,582,99
LOS ANGELES,9000580A,1163,170,N,3627,TOTAL,975,722,133
LOS ANGELES,9000582A,1164,195,N, ,POLLING PLACE,134,92,34
LOS ANGELES,9000582A,1164,195,N, ,VBM PORTION,457,296,119
LOS ANGELES,9000582A,1164,195,N,3069,TOTAL,591,388,153
LOS ANGELES,9000589A,1165,174,N, ,POLLING PLACE,187,106,74
LOS ANGELES,9000589A,1165,174,N, ,VBM PORTION,843,587,185
LOS ANGELES,9000589A,1165,174,N,2563,TOTAL,1030,693,259
LOS ANGELES,9000593C,1166,173,N, ,POLLING PLACE,177,107,65
LOS ANGELES,9000593C,1166,173,N, ,VBM PORTION,818,570,155
LOS ANGELES,9000593C,1166,173,N,2580,TOTAL,995,677,220
LOS ANGELES,9000599A,6528,165,Y, ,POLLING PLACE,7,3,4
LOS ANGELES,9000599A,6528,165,Y, ,VBM PORTION,38,30,4
LOS ANGELES,9000599A,6528,165,Y,98,TOTAL,45,33,8
LOS ANGELES,9000601C,1167,149,N, ,POLLING PLACE,175,128,38
LOS ANGELES,9000601C,1167,149,N, ,VBM PORTION,562,427,68
LOS ANGELES,9000601C,1167,149,N,3722,TOTAL,737,555,106
LOS ANGELES,9000603A,1168,170,N, ,POLLING PLACE,135,97,30
LOS ANGELES,9000603A,1168,170,N, ,VBM PORTION,476,378,43
LOS ANGELES,9000603A,1168,170,N,2501,TOTAL,611,475,73
LOS ANGELES,9000606A,6529,61,Y, ,POLLING PLACE,60,37,22
LOS ANGELES,9000606A,6529,61,Y, ,VBM PORTION,228,140,54
LOS ANGELES,9000606A,6529,61,Y,866,TOTAL,288,177,76
LOS ANGELES,9000611A,1169,85,N, ,POLLING PLACE,214,99,100
LOS ANGELES,9000611A,1169,85,N, ,VBM PORTION,1148,710,310
LOS ANGELES,9000611A,1169,85,N,3783,TOTAL,1362,809,410
LOS ANGELES,9000612A,1170,21,N, ,POLLING PLACE,228,60,151
LOS ANGELES,9000612A,1170,21,N, ,VBM PORTION,1032,383,473
LOS ANGELES,9000612A,1170,21,N,2933,TOTAL,1260,443,624
LOS ANGELES,9000623A,1171,235,N, ,POLLING PLACE,112,70,34
LOS ANGELES,9000623A,1171,235,N, ,VBM PORTION,243,165,65
LOS ANGELES,9000623A,1171,235,N,2821,TOTAL,355,235,99
LOS ANGELES,9000628A,1172,101,N, ,POLLING PLACE,334,100,214
LOS ANGELES,9000628A,1172,101,N, ,VBM PORTION,1354,556,590
LOS ANGELES,9000628A,1172,101,N,4062,TOTAL,1688,656,804
LOS ANGELES,9000631A,1173,71,N, ,POLLING PLACE,110,65,40
LOS ANGELES,9000631A,1173,71,N, ,VBM PORTION,346,238,89
LOS ANGELES,9000631A,1173,71,N,3019,TOTAL,456,303,129
LOS ANGELES,9000635A,1174,95,N, ,POLLING PLACE,271,78,173
LOS ANGELES,9000635A,1174,95,N, ,VBM PORTION,864,397,354
LOS ANGELES,9000635A,1174,95,N,3638,TOTAL,1135,475,527
LOS ANGELES,9000639A,1175,95,N, ,POLLING PLACE,239,69,159
LOS ANGELES,9000639A,1175,95,N, ,VBM PORTION,910,422,377
LOS ANGELES,9000639A,1175,95,N,3534,TOTAL,1149,491,536
LOS ANGELES,9000641A,1176,95,N, ,POLLING PLACE,252,82,153
LOS ANGELES,9000641A,1176,95,N, ,VBM PORTION,959,381,405
LOS ANGELES,9000641A,1176,95,N,3483,TOTAL,1211,463,558
LOS ANGELES,9000642C,1177,149,N, ,POLLING PLACE,120,82,24
LOS ANGELES,9000642C,1177,149,N, ,VBM PORTION,628,431,115
LOS ANGELES,9000642C,1177,149,N,3192,TOTAL,748,513,139
LOS ANGELES,9000646A,1178,95,N, ,POLLING PLACE,229,77,142
LOS ANGELES,9000646A,1178,95,N, ,VBM PORTION,786,392,290
LOS ANGELES,9000646A,1178,95,N,3414,TOTAL,1015,469,432
LOS ANGELES,9000648A,1179,306,N, ,POLLING PLACE,169,59,101
LOS ANGELES,9000648A,1179,306,N, ,VBM PORTION,577,309,204
LOS ANGELES,9000648A,1179,306,N,2822,TOTAL,746,368,305
LOS ANGELES,9000660A,1180,217,N, ,POLLING PLACE,145,61,69
